,engine,score,ef0.1,ef1,ef10,ef1_perc,ef2,ef5,mse,rk,rk_active,rk_inactive,roc_auc,roc_log_auc,rp,rp_active,rp_inactive,rs,rs_active,rs_inactive
0,dock,chemscore,9.21364825796,6.49198660261,2.7083764666,0.0734529611738,5.31798790046,3.54889437602,1361.07864613,-0.052362801511,0.0251397333197,,0.679353170237,0.260274698853,-0.0591252558453,0.0330108500854,4.19243674367e-17,-0.0643007044374,0.0360809866987,
1,dock,d_score,0.761991480871,2.19157418118,1.64089557668,0.0239921022571,1.99664516439,1.6732925453,13055.549698,-0.0171819583468,0.0204930435423,,0.563343699177,0.179868585078,-0.0166116996326,0.0394089122668,3.9500881661e-17,-0.021084029349,0.0289926085268,
2,dock,g_score,3.88497080233,2.90765848317,2.00460899685,0.0314625061998,2.91896398253,2.27989223149,72271.7695444,-0.0296091650161,0.00434825781556,,0.604304867781,0.205625471136,-0.0334404361741,0.00611649495646,-2.35985002958e-17,-0.0363572178908,0.00129756932085,
3,dock,native,3.56546156348,2.96376137843,2.07222624968,0.0323245184686,2.50054876414,2.45084153956,3599.370206,-0.0363681036133,-0.0256682719978,,0.624030920387,0.212020751634,-0.0395927062243,-0.0236674618443,-8.21921173572e-19,-0.0446644864904,-0.0350259414167,
4,dock,pmf_score,9.24306102302,5.24438370643,3.03489464947,0.0529525296892,4.09961774582,3.82667339998,5452.77221974,-0.0553646294749,-0.0390012594482,,0.691424195032,0.266451612455,-0.0668576790039,-0.0433961336657,-2.17369341865e-17,-0.0679950263828,-0.0520262603558,
5,dude,chemscore,17.3355733078,11.6488795934,4.08470199772,0.195150833581,8.74496395728,5.77897656546,916.06438544,-0.091839236865,0.0338505485953,,0.754174243985,0.341979855303,-0.113708909092,0.053466845902,-5.66796636073e-17,-0.112916973339,0.0482586769139,
6,dude,d_score,1.80739694524,2.42990971032,1.56361057622,0.0498879700298,2.39836160437,1.92031971653,69637.8007223,-0.00754417564181,0.03785423252,,0.512769992959,0.170570884465,0.00400034472411,0.0361485077839,-3.03754951314e-17,-0.00933238156599,0.0532364063869,
7,dude,g_score,6.28538878766,5.02749434438,2.95860840022,0.09164958406,4.58353827644,3.75201129248,32464.3371914,-0.0578763229059,0.000201264263894,,0.658816502179,0.258264931015,-0.0629618656376,-0.00415143016848,1.39887715561e-17,-0.0711702160539,-0.00268154085009,
8,dude,native,32.9311286032,18.0111631805,4.94618593486,0.294766054478,13.0091787283,7.66913018568,54466.6044437,-0.101825110512,-0.0150012470259,,0.786032380859,0.408906142577,-0.0956240085296,-0.0163358351584,6.11946220488e-18,-0.125157390536,-0.021378111487,
9,dude,pmf_score,11.5931908484,7.70529968716,3.12892308944,0.123529189104,5.76795005867,4.18020587061,3609.11618015,-0.0750938674442,-0.0234830951728,,0.707811965261,0.287376748359,-0.089899265259,-0.0374706375237,3.78481467473e-17,-0.0923364519455,-0.0352629116501,
10,vina,chemscore,11.4802205354,7.40009218236,3.04842210528,0.197216421761,6.27573976966,4.34288118838,1326.29446597,-0.0759570524281,0.0273724189799,,0.698731761987,0.285952381942,-0.0975600765409,0.0336515659581,3.88960582025e-17,-0.0936142548395,0.0397738996656,
11,vina,d_score,2.70925745523,2.78555424031,1.4337474179,0.102263168391,2.31867958274,1.75319807987,51269.5187676,-0.0215358506865,0.025401931106,,0.544905027772,0.177818445178,-0.014461423813,0.0397818463346,6.51939879434e-18,-0.0265955403772,0.0338380260397,
12,vina,g_score,3.66301138389,3.28487936182,2.18845903511,0.105036255798,2.82681187324,2.41698966479,52915.6561039,-0.0461771886048,-0.0179337819669,,0.622667969256,0.219113036075,-0.0533240891471,-0.021426104794,-8.82239601581e-17,-0.0564572583695,-0.0274810856548,
13,vina,native,14.0757257443,6.16525647993,3.26109681551,0.090252903559,5.32499380249,4.25332339251,200.937671534,-0.0722457952366,0.0442659993193,,0.717491894212,0.28604254009,-0.0769034513697,0.0558440880637,-1.09230728585e-16,-0.0887773760579,0.0653968755142,
14,vina,pmf_score,10.1768707234,5.51875110375,3.05417052021,0.144031995232,4.55691557942,3.9900657115,6005.67039969,-0.081317787017,-0.0209379862006,,0.68428823258,0.271187478739,-0.0941131675341,-0.0313442874026,6.90494995825e-17,-0.101788529624,-0.0267115810369,
0,dock,chemscore,7.06135011813,4.70926910081,2.18498970382,0.0651531019064,3.71061753804,2.64150224418,1919.01053135,-0.0524284662041,-0.0257538381759,,0.665542830342,0.237103331737,-0.0555615703811,-0.036068308467,8.57299611265e-17,-0.0647592033567,-0.0407201584452,
1,dock,d_score,0.0,1.434480053,1.51967347382,0.018855497998,1.44052442829,1.49201078888,16210.4767557,-0.027819211722,-0.0243719871761,,0.593238961675,0.186018317974,-0.0294690455197,-0.0391864194886,-2.45798604642e-17,-0.0339641808809,-0.0356593995994,
2,dock,g_score,1.04271106063,1.03642301998,1.19835740506,0.0218822615905,1.07039168742,1.2341602035,92857.6422495,-0.0162785918972,-0.0198754891096,,0.563191561757,0.165766449483,-0.0164047694621,-0.0167203064449,-7.84907177796e-17,-0.0195586166838,-0.0307984344856,
3,dock,native,7.63038190074,3.63232880313,2.23184315558,0.0986915284518,3.52183921758,2.78167120073,2942.9073554,-0.0378333377249,-0.0318489182276,,0.623150325553,0.221927847365,-0.0393322412301,-0.0470813625735,-2.21854237602e-17,-0.0464769922898,-0.0517005435194,
4,dock,pmf_score,11.3196668142,7.66792990189,3.1565071708,0.126247411842,6.01226712822,4.29725345621,5507.55548041,-0.0595551380013,-0.0243977510651,,0.687858253751,0.279210289015,-0.0733276153497,-0.0265900834342,7.11426810896e-17,-0.0734001999059,-0.0336360493053,
5,dude,chemscore,14.4595149819,9.2057785511,3.38381326109,0.157833344774,7.4078642496,4.77341018985,1336.79829373,-0.0748105274394,-0.0389466668247,,0.704210623178,0.300943066961,-0.0967525009388,-0.0518634425563,-7.89776850838e-18,-0.0919909592343,-0.0553631081432,
6,dude,d_score,1.00553049121,1.45476279332,0.957791966281,0.0250633797193,1.19079071747,1.03283855302,15623.248777,-0.000497053377177,0.00308028284738,,0.501098873761,0.145435606119,0.00398716152269,0.012246732265,-5.91398887538e-17,-0.000604506950579,0.00236151976159,
7,dude,g_score,6.21000135685,4.72074619609,2.01387208352,0.0840204864836,3.68075603671,2.57843150921,50688.3150704,-0.0394309458077,-0.0385719885892,,0.607924591645,0.220638550028,-0.0448780205411,-0.045470575264,1.08672781493e-16,-0.048486616913,-0.0553334460333,
8,dude,native,25.6339661713,15.9231325337,4.65481488677,0.280844092503,11.7667753903,6.98348496781,788431.831621,-0.0987753229303,-0.0581299203556,,0.765885100072,0.384543037851,-0.0687764070746,-0.0874558149512,7.06179718863e-17,-0.121477068645,-0.0883613096612,
9,dude,pmf_score,6.38207504234,5.19064297659,3.19632267558,0.0943661814714,4.77209804751,3.89751775757,3344.54701345,-0.0830220720848,-0.0380299605888,,0.723610841993,0.281337026448,-0.0937126356432,-0.0558819503454,-9.54708199544e-17,-0.10210667686,-0.0582963557669,
10,vina,chemscore,7.36227619211,5.09578713181,2.65197618928,0.254959064237,4.10430418476,3.1495983687,1892.18309958,-0.115311553453,-0.0380200783345,,0.696014130752,0.271230913534,-0.136803439267,-0.05595964909,6.74195522406e-17,-0.145641401585,-0.0558243610202,
11,vina,d_score,3.63814232576,2.2342875284,1.33244212366,0.126594997364,1.73747544009,1.54832411436,23686.6326162,-0.0237173101593,0.00283136113636,,0.546596831411,0.173686844779,-0.011914797381,0.0100759131341,-6.13522652452e-18,-0.0299621411455,0.00358052114529,
12,vina,g_score,5.83377744033,3.438677024,1.69746569261,0.125169929321,2.87810843835,2.14911359207,76141.1228591,-0.0613223198023,-0.0544372148143,,0.603213719747,0.206133668084,-0.0651568901383,-0.0743089746859,7.3237141445e-17,-0.0776328401123,-0.0793875936425,
13,vina,native,16.9653465022,12.3769844909,4.53091980715,0.196527185714,9.93024476515,6.6186448095,196.161366706,-0.0965677511442,-0.0362361821098,,0.782117431152,0.366941027946,-0.108226298701,-0.0557747656553,-3.32664299763e-17,-0.118729755169,-0.0537629370979,
14,vina,pmf_score,9.55940135625,6.91800595507,3.37440545227,0.242667996749,5.88985531084,4.38131023185,6295.70365206,-0.115304689479,-0.0308261873895,,0.722864831075,0.302548442083,-0.132806043709,-0.0337093341037,9.7381063158e-18,-0.14469283896,-0.0449387018333,
0,dock,chemscore,3.33374964046,2.35776437215,2.03327615174,0.0220441020704,2.26484639896,2.51318152747,1498.98452158,-0.0222209686319,-0.0685117460598,,0.593258627126,0.200718721522,-0.028968860426,-0.0643552892185,-7.2846441924e-17,-0.0272919930594,-0.100003788091,
1,dock,d_score,4.26225191207,2.94503988065,1.7011266395,0.0224923026059,2.50582175584,1.84037747526,13153.7623558,-0.0100045155909,-0.00150472851396,,0.524936663031,0.175307242578,-0.0154225118017,-0.0147444640783,-7.25773131438e-17,-0.012283139307,-0.0087947742033,
2,dock,g_score,6.90338866253,2.7084960465,1.35017712172,0.0161452874012,1.8467013393,1.54836481347,73910.3266464,-0.0134242803522,-0.0904452522215,,0.569972822605,0.175232598733,-0.0229364492164,-0.123798355321,-1.0384969059e-16,-0.0164700407978,-0.122105343058,
3,dock,native,4.25338057575,4.16239534927,1.66038235411,0.0273611891598,2.84740049807,1.87771962249,3665.16947138,-0.0110914407599,-0.048003295747,,0.562291694203,0.187494391731,-0.0134409053079,-0.048105805423,-5.23322597385e-17,-0.0135948083497,-0.0640821419822,
4,dock,pmf_score,15.2188023251,8.88139240096,3.42671023089,0.0835942774126,7.39704975992,5.34089482485,6076.36279808,-0.0468198806825,-0.073505813152,,0.686815014842,0.296646528311,-0.0586811699654,-0.0601296771124,-3.99525252949e-17,-0.0574981317444,-0.0861062726732,
5,dude,chemscore,13.5676355287,9.33530889703,3.60775292066,0.143951414121,7.28353023516,5.02398379472,1050.39736058,-0.0689261020432,-0.0548744966943,,0.701236766146,0.303606447259,-0.0922234734337,-0.069166966231,1.59909014411e-16,-0.0847069606549,-0.0803254628354,
6,dude,d_score,1.61536795647,2.07858349387,1.40596373275,0.0325388769447,2.0580682488,1.68673965795,31688.0884969,0.00443282397475,0.00528042105419,,0.488689180021,0.158226164848,0.0147638635002,-0.00577045205514,8.28746808648e-18,0.00543222095095,0.00862018612161,
7,dude,g_score,6.63627016563,4.87759215351,2.69380001954,0.0726393210451,4.22383477651,3.32482550549,35303.2896788,-0.0570249732195,-0.0865749471024,,0.666838944069,0.25060944468,-0.0678588068682,-0.116054966851,5.17593472032e-17,-0.0700593279839,-0.123086075507,
8,dude,native,32.6003273279,18.3007745266,4.77010994989,0.279923631346,12.3432123986,7.3675776647,30242.4666121,-0.0914115127017,-0.10580196396,,0.765544859002,0.39349010011,-0.0570887318381,-0.0940903784715,-6.15755378296e-17,-0.112263914809,-0.154723296061,
9,dude,pmf_score,11.9590562056,10.5201765899,3.60942371105,0.15840199971,7.57492132946,4.95094412483,4099.08735253,-0.0787074258505,-0.0374180399442,,0.726773491823,0.316882059341,-0.0959891369921,-0.0503932398517,-2.88971809761e-17,-0.0967484302635,-0.0555243384969,
10,vina,chemscore,6.9079777638,4.7188665734,2.6049047628,0.155534668265,3.9119792321,3.28469659307,1469.81219782,-0.0647584817845,-0.074491866056,,0.639677345599,0.24050865556,-0.0854313981703,-0.103589761294,-1.37616724966e-16,-0.0813341686467,-0.105936950885,
11,vina,d_score,5.69862647184,3.11832211869,1.63331612098,0.0629110567282,2.66613790973,2.15310464949,17459.0056184,0.00810361146392,-0.0108933594457,,0.528156586525,0.18161810827,0.0189477238828,-0.032060296291,1.21247147641e-17,0.011361586161,-0.014127705731,
12,vina,g_score,7.89808040114,3.52723269603,1.96627705697,0.106610739617,2.93577839611,2.39053484691,55336.4307726,-0.0408149078203,-0.100510947447,,0.612163554106,0.213992699323,-0.0483913732495,-0.137987094641,2.78715977674e-17,-0.0501643044401,-0.14479382053,
13,vina,native,24.781141523,13.1250198568,3.74608354786,0.171395598629,8.84806743661,5.30674192324,203.489224466,-0.0626974265947,-0.0714575878993,,0.701458638989,0.320799608931,-0.0755366146548,-0.131486238454,-2.60530654456e-16,-0.077007592432,-0.110472081154,
14,vina,pmf_score,16.9950852604,9.26565184515,3.34211360293,0.225755535374,6.89800399118,4.75267798228,7017.58815448,-0.0898351185131,-0.0441925802227,,0.689144895059,0.304937135126,-0.112474861547,-0.0551145505044,-7.23177698447e-17,-0.113021523677,-0.0640431778832,
0,dock,chemscore,6.64528181811,6.3766838363,2.88687739932,0.121665758125,5.4327208663,4.05385587075,1310.13711269,-0.0625550584632,-0.00671078004057,,0.678628257117,0.26873493513,-0.0760855537605,0.00667709613063,2.75509119687e-16,-0.0778754051107,-0.00505198836346,
1,dock,d_score,1.76451117534,2.33381708736,1.4038415508,0.0596134653379,1.98667329726,1.49035460489,11698.3069532,-0.00462666852189,-0.0310721389025,,0.522776956723,0.16599409233,-0.0071112192589,-0.0602258606401,2.09434630416e-17,-0.00540297437969,-0.0461965752343,
2,dock,g_score,5.50013583117,2.94056923112,2.037156083,0.0507677097049,2.81382598892,2.37115245773,66834.3819768,-0.0226743232196,-0.0274331805196,,0.592611631556,0.204002756779,-0.027265904229,-0.036263523238,-5.09461523917e-18,-0.0274132543344,-0.0405445110576,
3,dock,native,5.76288120842,3.32939325742,2.29277439848,0.0974082682399,2.76102825645,2.31069910865,3541.14132892,-0.0368858762759,-0.0184745154273,,0.62558040982,0.221930924101,-0.0390398271707,-0.0104732035219,-5.18566035491e-17,-0.045339949636,-0.0188585320168,
4,dock,pmf_score,12.0693885833,7.78290365696,3.08764201139,0.13602969605,6.17812468279,4.11613046845,4436.37740412,-0.0601057497821,-0.04979133587,,0.673788111514,0.28310754099,-0.0858107910575,-0.072293623988,-7.29057495976e-17,-0.0747197276204,-0.0675887144618,
5,dude,chemscore,21.4872750915,14.2142151193,4.2585555832,0.227536694505,10.4614454873,6.18985530193,980.747219074,-0.0912287062557,-0.00289183373875,,0.757907410304,0.36318114809,-0.120618975533,-0.00928689112956,3.3405097024e-17,-0.112177895518,-0.00767330803966,
6,dude,d_score,0.184547092126,1.21602298795,1.19560965969,0.019189211301,1.15235430425,1.27258134637,10818.6442074,-1.54773182106e-07,0.0241922704707,,0.50337038607,0.151029129413,0.00580021154466,0.0399121432559,-6.14619773165e-17,1.39479107143e-05,0.0350512305485,
7,dude,g_score,9.88891053989,7.1928394121,2.60011022695,0.118391163365,5.32047568608,3.43339884802,37050.4593743,-0.0491285879268,-0.0385890866958,,0.63373999663,0.251940199564,-0.0600101882189,-0.0610203613022,-6.26766683007e-17,-0.0604076199633,-0.0542750494864,
8,dude,native,30.4226611988,17.1415827166,4.76452721887,0.282308387802,12.4512193653,7.18202950373,203111.602734,-0.0978979696427,-0.0461143959725,,0.774640722728,0.394508846228,-0.104725057046,-0.0351368051084,5.22140351453e-17,-0.120329993481,-0.0668232789165,
9,dude,pmf_score,11.4037748136,8.61152269994,3.32560911421,0.138932914506,7.02084428304,4.56849857767,2730.92835632,-0.075350326295,-0.064451178339,,0.710835593136,0.302956752102,-0.10020941493,-0.0990262706496,4.03170631022e-17,-0.0925972310735,-0.0968447431937,
10,vina,chemscore,9.58157014007,6.62417193677,3.07058081074,0.197377148941,5.5035719473,4.07777334023,1367.2925306,-0.100334374394,-0.0222521808414,,0.713485386128,0.295655422839,-0.125870716716,-0.0367224719171,-7.06885173125e-18,-0.124986860498,-0.0338854366835,
11,vina,d_score,2.34643791794,2.25789116391,1.53110896381,0.0611181423019,1.81519215276,1.61910279982,17892.8695914,-0.0277774972152,-0.00768387344696,,0.547460855131,0.174659843944,-0.0248673531747,-0.0175327088349,-1.02617020604e-17,-0.0349226027892,-0.013342241391,
12,vina,g_score,7.68132143854,4.24704815758,2.31161264706,0.108509764476,3.71602592352,2.79696432613,52889.0920829,-0.0494359545797,-0.0499557899124,,0.617045863785,0.228374310855,-0.0560100646599,-0.0751102308015,-2.89210704249e-19,-0.0608859755796,-0.0750526559212,
13,vina,native,19.8977197052,11.3260433237,3.74744331831,0.17158820313,8.03430812149,5.15039106399,196.64203652,-0.0796129960562,-0.0131174144832,,0.735576093726,0.328559202035,-0.100232640502,-0.0188353576878,5.83576377554e-17,-0.0978396043811,-0.0234172534075,
14,vina,pmf_score,11.4875608841,9.00578267126,3.3063480294,0.203946775612,7.2190964629,4.57406229139,5134.02775362,-0.0962508960199,-0.073293004131,,0.710794108484,0.309528403483,-0.12938247014,-0.101226240949,-4.4568062636e-17,-0.119496936814,-0.110005545214,
0,dock,chemscore,9.97098449833,4.78289378161,2.53418681547,0.0445229831909,4.3450382117,3.05709074963,1327.64039046,-0.0410014625411,-0.0488517081735,,0.645456081366,0.239336026256,-0.0491199526836,-0.0880156966876,4.19619996268e-17,-0.050350446564,-0.0727976868767,
1,dock,d_score,4.21186234998,3.3850984442,2.03516493189,0.0289122413997,3.15289054813,2.63749438899,12307.5432371,-0.0162660453343,-0.060297617596,,0.559653472632,0.195990955684,-0.0245729246361,-0.0889161215744,5.08180839709e-18,-0.0199638842289,-0.0789272092496,
2,dock,g_score,7.43876647404,4.68098300428,1.78307538004,0.0375932592906,3.07594043381,2.26521239978,66835.7010413,-0.0306320762182,-0.0715711267348,,0.616509254784,0.208326764113,-0.0399511669508,-0.0958600157413,-5.86102444326e-17,-0.0375911618537,-0.0964666263505,
3,dock,native,1.83202724209,3.66166957865,1.96377449863,0.0317471242885,3.63777190977,2.21911457087,2966.7295629,-0.0264266659318,-0.139590260236,,0.600388832725,0.208634028418,-0.0368597247831,-0.185319766407,-8.75211645047e-17,-0.0324338407992,-0.191873352298,
4,dock,pmf_score,19.1461764977,11.8638992212,3.47710041179,0.080312192892,7.99100448036,4.72728426781,4700.43146346,-0.0560659259219,-0.0941497385947,,0.722599555557,0.313407855184,-0.0706970434453,-0.114998336109,4.26100741058e-17,-0.0687879705704,-0.131614761682,
5,dude,chemscore,18.9626694445,11.6314665465,4.0012626685,0.181579309837,9.22993245416,6.01494436426,961.439798365,-0.0754601726605,-0.0401909765209,,0.715584732091,0.333572967199,-0.101266498338,-0.0483281789595,-2.27380476269e-17,-0.0927492905372,-0.059541428783,
6,dude,d_score,3.44443918361,3.41434012935,1.58190355936,0.0563739766126,3.19496559615,2.1622658395,19425.4672362,0.00323532258225,-0.00867164913563,,0.493505782713,0.171656342018,0.0133661627923,-0.0121506272533,-1.6208076574e-17,0.00401240446387,-0.0107953313014,
7,dude,g_score,8.47308825723,5.76986138358,2.56378913351,0.0984440172613,4.71008360774,3.39871760302,35283.984336,-0.057201531791,-0.0353385229339,,0.659191838829,0.253201358188,-0.0639934109129,-0.0278292036318,9.78324927543e-18,-0.0703274922717,-0.0512970164633,
8,dude,native,25.361473937,14.9247277339,4.29474115877,0.22957899647,10.6216108576,6.23081538356,363267.990309,-0.0913021219009,-0.0686175984387,,0.757072167745,0.369164556936,-0.0669189673916,-0.103049026311,-2.82763265553e-17,-0.112232897058,-0.101952536991,
9,dude,pmf_score,14.3198072658,10.4281781836,3.94302399458,0.187002736972,7.68368909301,5.21060512718,3263.39322183,-0.094733745142,-0.0888765187475,,0.764693581076,0.343668673105,-0.117375973994,-0.120776342708,2.89099297191e-17,-0.116411631069,-0.127535815995,
10,vina,chemscore,7.16695628455,7.35836092777,3.14716595134,0.121313209541,5.62389193875,4.33792157916,1439.77235081,-0.0693962238808,-0.0441590952295,,0.686863877166,0.281084235431,-0.0842726533295,-0.0575275538531,5.54363063799e-18,-0.0854166427233,-0.0668847786701,
11,vina,d_score,7.90719774132,5.99687529045,2.24191986248,0.0739056847147,4.40210591743,2.97118793676,19690.6052985,-0.0252142399334,-0.000122791573361,,0.580794771284,0.21789366798,-0.0192735887681,0.00360418723537,5.11144715557e-17,-0.0310341664065,0.00278826765217,
12,vina,g_score,4.83927141984,3.38866281199,1.92797318248,0.0507780164716,2.85161759591,2.45658253884,56394.1731035,-0.033894098233,-0.0535550287602,,0.602145660087,0.20399521435,-0.0381003973892,-0.0576252280217,-5.65397732956e-17,-0.0417132884078,-0.0814707327372,
13,vina,native,27.051115424,11.9259648149,3.80136100058,0.158294160913,8.88020301996,5.56026534971,186.653721638,-0.0786466112977,-0.0633780534527,,0.744332199934,0.335304178775,-0.094994500887,-0.0902914198372,1.64454181958e-16,-0.0966320559512,-0.0989124935825,
14,vina,pmf_score,10.2670581424,8.20657157244,3.36296901722,0.143735297811,6.41462067126,4.3710350753,6059.11687926,-0.079242660078,-0.0902619998086,,0.724109159896,0.300405184722,-0.0972927699477,-0.129017999455,-1.88948879368e-17,-0.0974971527335,-0.128491930861,
